d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.9308, 4.8768, -7.88968
d4: -26.0096, 3.50035, -3.82793
d1: -32.5794, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.9039, 4.8768, -7.90285
d4: -26.0096, 3.51622, -3.80253
d1: -32.5492, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.8768, 4.8768, -7.91613
d4: -26.0096, 3.53221, -3.77694
d1: -32.5177, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.8486, 4.8768, -7.92998
d4: -26.0096, 3.5489, -3.75024
d1: -32.487, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.8209, 4.8768, -7.94351
d4: -26.0096, 3.5652, -3.72415
d1: -32.4567, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.7937, 4.8768, -7.95684
d4: -26.0096, 3.58127, -3.69845
d1: -32.4262, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.7663, 4.8768, -7.97026
d4: -26.0096, 3.59743, -3.6726
d1: -32.3952, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.7385, 4.8768, -7.98386
d4: -26.0096, 3.61382, -3.64637
d1: -32.3646, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.7111, 4.8768, -7.99733
d4: -26.0096, 3.63005, -3.6204
d1: -32.3342, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.6838, 4.8768, -8.0107
d4: -26.0096, 3.64616, -3.59463
d1: -32.3038, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.6565, 4.8768, -8.02407
d4: -26.0096, 3.66227, -3.56884
d1: -32.2731, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.6288, 4.8768, -8.0376
d4: -26.0096, 3.67857, -3.54277
d1: -32.2424, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.6013, 4.8768, -8.05108
d4: -26.0096, 3.69482, -3.51677
d1: -32.212, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.574, 4.8768, -8.06444
d4: -26.0096, 3.71091, -3.49102
d1: -32.1815, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.5466, 4.8768, -8.07787
d4: -26.0096, 3.7271, -3.46513
d1: -32.1508, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.5191, 4.8768, -8.09137
d4: -26.0096, 3.74336, -3.4391
d1: -32.1203, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.4916, 4.8768, -8.10481
d4: -26.0096, 3.75955, -3.4132
d1: -32.0899, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.4644, 4.8768, -8.11816
d4: -26.0096, 3.77564, -3.38746
d1: -32.0594, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.4369, 4.8768, -8.13159
d4: -26.0096, 3.79182, -3.36157
d1: -32.029, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.4097, 4.8768, -8.14493
d4: -26.0096, 3.8079, -3.33585
d1: -31.9968, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.3807, 4.8768, -8.15911
d4: -26.0096, 3.82498, -3.30851
d1: -31.9658, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.3529, 4.8768, -8.17273
d4: -26.0096, 3.84139, -3.28225
d1: -31.9351, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.3253, 4.8768, -8.18626
d4: -26.0096, 3.85769, -3.25618
d1: -31.9046, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.2979, 4.8768, -8.19969
d4: -26.0096, 3.87388, -3.23028
d1: -31.8736, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.2701, 4.8768, -8.21329
d4: -26.0096, 3.89026, -3.20407
d1: -31.8425, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.2422, 4.8768, -8.22697
d4: -26.0096, 3.90675, -3.17768
d1: -31.8108, 1.6256, -11.3792
d2: -1.#IND, -1.#IND, -1.#IND
d3: -32.2137, 4.8768, -8.24093
d4: -26.0096, 3.92356, -3.15078
